Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01089803-25,2,2,G,"1,654.00",40,,RATHMINES EAST D,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1125-01633999,2,2,,"1,731.00",40,,RATHMINES EAST D,11/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1025-01591435,2,2,,900.00,40,,RATHMINES EAST C,10/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1225-01668602-25,2,4,D2,"2,257.00",70,,PEMBROKE WEST C,12/2025,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0725-01496921,2,4,E1,"2,499.00",70,,PEMBROKE WEST C,07/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0724-01047561-25,2,3,G,"2,760.00",70,,PEMBROKE WEST C,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0825-01537177,2,2,C3,"2,950.00",65,,PEMBROKE WEST C,08/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1119-01539226-25,2,0,E1,"1,679.00",65,,PEMBROKE WEST C,11/2019,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0824-01095209-25,2,3,C2,"2,026.00",48,,PEMBROKE WEST C,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0925-01561723,2,0,,"1,935.00",45,,PEMBROKE WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01471879,2,0,,"2,080.00",45,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0524-00983797-25,2,2,,"2,000.00",45,,PEMBROKE WEST C,05/2024,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01461653,2,4,,"2,350.00",48,,PEMBROKE WEST C,06/2025,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0226-01762200,2,4,B1,"3,500.00",45,,RATHMINES EAST B,02/2026,
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-1118-01418331-25,2,2,B3,"2,100.00",45,,RATHMINES EAST B,11/2018,2025
DUBLIN CITY COUNTY COUNCIL,Pembroke,Apartment / Flat,RT-0625-01459436,2,0,C2,"2,000.00",45,,RATHMINES WEST B,06/2025,
