Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0625-01462474,5,8,C1,"4,750.00",148,,CLONTARF EAST D,06/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0424-00968784-25,2,4,,"2,295.00",75,,CLONTARF EAST D,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0424-00972410-25,5,5,,"2,200.00",60,,DRUMCONDRA SOUTH A,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01143635-25,5,5,A2,"3,500.00",173,,BEAUMONT D,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01560099-25,5,10,A3,"4,650.00",130,,GRACE PARK,09/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0525-01409747,5,9,C3,"4,250.00",140,,CLONTARF EAST C,05/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0225-01316147-25,5,7,A3,"4,650.00",153,,GRACE PARK,02/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1225-01677218,5,0,C2,"2,484.00",150,,CLONTARF WEST A,12/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0819-01508281-25,5,0,E1,"2,700.00",130,,BEAUMONT D,08/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1125-01664651,5,5,,"4,694.35",130,,GRACE PARK,11/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0918-01392375-25,5,5,D2,"1,860.00",90,,BEAUMONT F,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0625-01455123,5,5,B3,"4,500.00",120,,CLONTARF WEST B,06/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01157734-25,5,6,D2,"3,590.00",92,,DRUMCONDRA SOUTH A,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0120-01560162-25,5,5,A3,"3,348.00",189,,BEAUMONT D,01/2020,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0522-00073981-25,5,6,C2,"3,800.00",120,,CLONTARF WEST D,05/2022,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0419-01469442-25,5,5,D2,"2,200.00",120,,DRUMCONDRA SOUTH A,04/2019,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1118-01417023-25,5,0,,"3,409.00",120,,CLONTARF EAST B,11/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0918-01392236-25,5,5,,"1,950.00",120,,BEAUMONT F,09/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0818-01383298-25,3,6,B2,"1,558.00",139,,DRUMCONDRA SOUTH A,08/2018,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0724-01066495-25,3,3,B3,"1,950.00",139,,CLONTARF WEST A,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0126-01714512,3,4,E1,"3,200.00",142,,DRUMCONDRA SOUTH A,01/2026,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1224-01250639,2,0,B3,"2,490.00",70,,GRACE PARK,12/2024,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01123850-25,2,4,B3,"2,058.00",70,,CLONTARF WEST B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0924-01160358-25,2,3,C3,"1,970.00",70,,HARMONSTOWN B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0225-01332811,5,5,C2,"3,000.00",186,,BEAUMONT F,02/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0824-01116098-25,2,4,C3,"1,913.00",69,,DRUMCONDRA SOUTH A,08/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0724-01084439-25,2,2,C3,"2,400.00",75,,HARMONSTOWN B,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0925-01581880,2,4,C3,"3,100.00",80,,CLONTARF WEST C,09/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0325-01352752-25,2,3,C3,"2,350.00",80,,CLONTARF WEST A,03/2025,2025
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-0725-01488032,3,5,C3,"2,348.00",91,,BEAUMONT F,07/2025,
DUBLIN CITY COUNTY COUNCIL,Clontarf,House,RT-1124-01226009-25,3,3,C3,"2,800.00",92,,BEAUMONT F,11/2024,2025
