Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0226-01779036,4,2,D1,"1,600.00",110,,,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01574076,4,0,D1,"1,670.00",110,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0918-01390873-25,4,4,D1,"1,347.00",110,,BARNA,09/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0825-01528085,4,0,E2,"3,000.00",120,,BARNA,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0425-01402635,4,7,E2,"2,600.00",111,,TAYLORS HILL,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0719-01495493-25,4,0,E1,"1,275.00",110,,BARNA,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0321-01737352-26,3,0,,"1,349.39",119,,KNOCKNACARRAGH,03/2021,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0124-00841749-25,3,3,,"1,115.00",112,,BARNA,01/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1025-01619436,4,4,,"1,930.00",120,,BARNA,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1019-01535014-25,4,5,,"1,050.00",120,,BARNA,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0925-01556400,4,5,,"3,200.00",120,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0919-01522931-25,4,0,,"1,218.00",113,,BARNA,09/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-1019-01536893-25,5,0,,"2,000.00",200,,TAYLORS HILL,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0919-01524904-25,4,4,,910.00,130,,KNOCKNACARRAGH,09/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,House,RT-0625-01459647,4,4,A3,"3,000.00",150,,BARNA,06/2025,
