Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01568392,1,2,C3,"2,200.00",50,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0622-00096982-25,1,2,C3,"1,400.00",50,,MERCHANTS QUAY B,06/2022,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0619-01489394-25,1,1,C3,"1,212.00",50,,MERCHANTS QUAY B,06/2019,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1024-01178191-25,1,0,D1,"1,900.00",50,,MERCHANTS QUAY B,10/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0425-01383392,1,2,D2,"1,800.00",50,,MERCHANTS QUAY B,04/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01373003,1,2,E2,"1,035.00",50,,MERCHANTS QUAY B,03/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0119-01437546-26,2,2,A3,"2,936.00",100,,MERCHANTS QUAY B,01/2019,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01451071,2,4,A2,"2,360.00",80,,MERCHANTS QUAY B,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01309810-25,2,2,A2,"2,445.00",88,,MERCHANTS QUAY B,02/2025,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01716585,2,2,B3,"1,840.00",65,,MERCHANTS QUAY B,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01555709,2,2,B3,"2,450.00",49,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01724000,2,2,C1,"1,973.00",75,,MERCHANTS QUAY B,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1025-01595616,2,4,C1,"2,450.00",60,,MERCHANTS QUAY B,10/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01575585,2,5,C1,"1,200.00",67,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0925-01575532,2,5,C1,"1,200.00",72,,MERCHANTS QUAY B,09/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01504754,2,4,C1,"2,211.00",61,,MERCHANTS QUAY B,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01662469,2,2,C2,"2,350.00",70,,MERCHANTS QUAY B,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0424-00955716-25,2,0,C3,"2,016.00",70,,MERCHANTS QUAY B,04/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01354198-25,2,3,D2,"2,200.00",70,,MERCHANTS QUAY B,03/2025,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01241234-25,2,2,C2,"1,622.00",69,,MERCHANTS QUAY B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0220-01571251-26,2,4,C3,"1,963.00",71,,MERCHANTS QUAY B,02/2020,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01513176,2,2,D2,"1,521.00",69,,MERCHANTS QUAY B,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0525-01420088,2,2,C1,"1,930.00",72,,MERCHANTS QUAY B,05/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01244308-25,2,0,C3,849.00,72,,MERCHANTS QUAY B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0519-01474194-26,2,4,C3,"1,544.00",68,,MERCHANTS QUAY B,05/2019,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0725-01505015,2,2,C3,"2,853.00",42,,MERCHANTS QUAY B,07/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1124-01205500-25,2,3,C3,"2,446.00",43,,MERCHANTS QUAY B,11/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0724-01065382-25,2,4,C3,"2,308.24",44,,MERCHANTS QUAY B,07/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0226-01744202,2,2,E1,"2,200.00",44,,MERCHANTS QUAY B,02/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0525-01420112,2,4,C1,"1,909.00",65,,MERCHANTS QUAY B,05/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0325-01346493-26,2,4,C3,"2,133.00",65,,MERCHANTS QUAY B,03/2025,2026
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1224-01235339-25,2,2,D1,"2,035.00",65,,MERCHANTS QUAY B,12/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0625-01445446,2,2,E2,"1,700.00",65,,MERCHANTS QUAY B,06/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01147286-25,2,4,C2,"2,600.00",64,,MERCHANTS QUAY B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0225-01315580-25,2,2,C3,"2,600.00",64,,MERCHANTS QUAY B,02/2025,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0924-01157080-25,2,4,C3,"2,800.00",64,,MERCHANTS QUAY B,09/2024,2025
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0126-01707648,2,4,D1,"2,950.00",66,,MERCHANTS QUAY B,01/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01534479,2,4,G,"2,650.00",64,,MERCHANTS QUAY B,08/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0326-01784834,2,4,C2,"2,600.00",60,,MERCHANTS QUAY B,03/2026,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-1125-01632655,2,4,D1,"1,807.92",60,,MERCHANTS QUAY B,11/2025,
DUBLIN CITY COUNTY COUNCIL,South West Inner City,Apartment / Flat,RT-0825-01535356,2,4,D1,"2,239.00",60,,MERCHANTS QUAY B,08/2025,
