Local Authority,Local Electoral Area,Dwelling Type,RT Number,Number of Bedrooms,Number of Bed Spaces,BER,Rent (Month),Floor Space m2,Match Score,ED Name,Tenancy Start,Tenancy Updated
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0825-01522399,1,2,,"1,600.00",60,,SALTHILL,08/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1225-01690178,1,1,A3,"1,780.00",55,,BARNA,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1224-01242149-25,1,1,D2,788.00,60,,TAYLORS HILL,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01726668,2,4,B2,"2,140.00",71,,SALTHILL,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0624-01031184-25,2,3,B2,"1,565.00",59,,SALTHILL,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0226-01749299,2,0,B3,"2,335.00",80,,SALTHILL,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01641127,2,0,B3,"2,257.00",62,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0525-01424649-25,2,0,B3,"1,151.44",75,,SALTHILL,05/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01481008,2,2,B3,"1,602.00",67,,SALTHILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0419-01472248-25,2,4,B3,"1,212.00",65,,SALTHILL,04/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0918-01388565-25,2,0,B3,"1,269.00",86,,SALTHILL,09/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0226-01746021,2,2,C1,"1,800.00",79,,SALTHILL,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01511150,2,4,C1,"1,495.00",100,,SALTHILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01634299,2,2,C2,"1,300.00",90,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01574052,2,0,D1,"1,640.00",90,,SALTHILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1019-01532235-25,2,0,D2,"1,433.00",93,,SALTHILL,10/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0524-00986461-25,2,2,D1,"2,200.00",85,,SALTHILL,05/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01650699,2,4,,"1,710.00",91,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01295432-26,2,4,C2,"1,950.00",82,,SALTHILL,01/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1124-01207461-25,2,0,C2,"1,470.00",82,,SALTHILL,11/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1219-01550926-25,2,0,D2,"1,062.00",81,,SALTHILL,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01558171,2,4,A3,"1,651.00",88,,BARNA,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0323-00469973-25,2,4,,"1,485.00",40,,SALTHILL,03/2023,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0719-01500850-25,2,2,C1,"1,384.00",80,,SALTHILL,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01506833,2,2,C1,"2,500.00",80,,SALTHILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01489873,2,4,C1,"2,500.00",80,,SALTHILL,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0824-01099321-25,2,2,C1,"2,400.00",80,,SALTHILL,08/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1225-01671118,2,4,,"1,200.00",40,,BARNA,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0318-01321647-25,2,3,C2,"1,244.00",80,,SALTHILL,03/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1224-01240968-25,2,0,D2,"2,300.00",80,,SALTHILL,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01596482,2,0,E1,"1,500.00",80,,SALTHILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01583489,2,2,,"1,200.00",47,,SALTHILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01406632,2,3,,"1,100.00",45,,BARNA,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0719-01495321-25,2,2,,750.00,45,,BARNA,07/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01596528-25,2,3,,900.00,45,,BARNA,10/2025,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0725-01493398,2,0,C3,"1,645.00",49,,BARNA,07/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0325-01360070,2,2,C1,"1,074.00",52,,SALTHILL,03/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0424-00977368-25,2,4,,980.00,50,,SALTHILL,04/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0219-01445066-25,2,0,C3,"1,280.00",54,,SALTHILL,02/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0326-01790688,2,4,C2,"1,277.00",55,,SALTHILL,03/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01734655,2,0,C3,"2,296.00",75,,SALTHILL,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0824-01116333-25,2,4,D1,"1,355.00",75,,SALTHILL,08/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0226-01771303,2,4,D2,"1,109.00",75,,SALTHILL,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0724-01066952-25,2,0,D2,"1,490.00",75,,SALTHILL,07/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1225-01678054,2,2,C2,"2,600.00",74,,SALTHILL,12/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0219-01452855-26,2,3,D1,"1,018.00",74,,SALTHILL,02/2019,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0319-01461626-25,2,4,D1,"1,051.62",77,,SALTHILL,03/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0126-01714091,2,4,D2,"1,393.00",55,,SALTHILL,01/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0326-01790685,2,4,,"1,400.00",55,,SALTHILL,03/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01634172,2,4,,"1,307.00",55,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1219-01559541-25,2,0,D1,"1,640.00",50,,KNOCKNACARRAGH,12/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1024-01195439-25,2,3,D2,"1,288.00",50,,BARNA,10/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0425-01402640,2,0,C2,"1,100.00",70,,SALTHILL,04/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0722-00150313-25,2,2,C2,"1,056.00",70,,SALTHILL,07/2022,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01623678,2,4,D1,"1,661.00",70,,SALTHILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1224-01244382-25,2,2,D1,"1,011.00",70,,SALTHILL,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0226-01780261,2,4,D2,"2,100.00",70,,SALTHILL,02/2026,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1025-01593782,2,2,E1,"2,000.00",70,,SALTHILL,10/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1224-01238430-25,2,2,E1,"1,400.00",70,,SALTHILL,12/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01295902-26,2,4,F,"1,075.00",70,,SALTHILL,01/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0819-01504642-25,2,4,C2,"1,218.00",68,,SALTHILL,08/2019,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01575268,2,3,D1,"1,635.00",59,,SALTHILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0925-01585090,2,2,C2,"2,060.00",60,,SALTHILL,09/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0125-01295935-26,2,4,F,"1,075.00",60,,SALTHILL,01/2025,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1018-01405197-25,2,4,E1,"1,461.00",65,,SALTHILL,10/2018,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0624-01038046-25,2,0,C2,"2,200.00",64,,SALTHILL,06/2024,2025
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1125-01647283,2,3,C3,"2,000.00",66,,SALTHILL,11/2025,
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-1023-00719279-26,2,4,E1,"1,160.00",66,,SALTHILL,10/2023,2026
GALWAY CITY COUNTY COUNCIL,Galway City West,Apartment / Flat,RT-0625-01461862,2,2,D1,"2,050.00",67,,SALTHILL,06/2025,
